n,dist_5cm,dist_10cm,dist_20cm,dist_30cm,dist_40cm,dist_50cm,dist_60cm,dist_70cm,dist_80cm
1,4.76,10.63,21.17,29.1,40.29,48.67,57.92,68.49,78.59
2,5.64,12.39,19.92,30.92,39.39,48.5,58.17,67.57,77.4
3,4.76,10.63,19.92,30.41,39.37,48.69,58.34,60.28,77.88
4,6.22,11.8,19.92,30.41,39.13,48.84,58.19,67.15,77.6
5,5.64,10.63,19.92,30.41,38.91,48.35,57.9,55.22,77.69
6,4.76,10.63,19.92,30.67,39.15,48.86,58.31,67.3,77.71
7,6.22,10.63,19.92,30.41,41.21,48.35,58.31,67.15,77.52
8,4.76,13.55,19.94,30.69,41.21,48.35,58.31,67.57,78.23
9,5.34,10.91,19.92,29.63,38.45,48.86,58.17,67.57,78.06
10,5.64,10.63,19.92,29.1,39.83,48.35,58.31,67.57,61.12
11,4.76,10.63,19.92,30.67,40.75,48.86,58.31,67.15,77.33
12,5.64,10.63,19.94,30.41,38.91,48.84,58.46,67.27,77.86
13,4.74,0.03,19.92,30.41,39.37,49.37,57.48,67.71,78.51
14,5.64,12.38,21.18,30.41,39.83,49.37,58.31,67.73,77.79
15,5.64,10.03,19.92,30.41,39.61,48.84,58.33,67.15,78.51
16,4.76,10.91,21.17,30.41,40.75,48.35,58.31,67.29,77.79
17,4.76,10.03,19.92,29.63,39.15,49.71,57.61,67.15,78.51
18,5.64,10.63,19.92,30.41,39.61,48.52,58.31,67.29,78.05
19,6.22,10.03,19.92,30.14,39.15,49.35,58.31,67.15,77.35
20,6.22,10.63,19.92,30.94,39.61,48.52,58.33,67.73,78.4
21,6.22,11.51,19.92,29.1,39.61,48.69,58.17,67.29,78.52
22,4.76,10.63,19.92,30.41,39.15,48.35,58.6,66.74,77.43
23,5.64,10.63,19.92,30.41,38.91,49.37,58.62,67.59,77.88
24,6.22,11.78,20.88,30.41,39.83,48.52,58.6,67.73,78.05
25,4.76,10.03,22.03,30.41,38.47,48.86,57.9,67.71,77.5
26,5.64,10.63,19.92,30.41,40.31,49.37,58.02,68.14,78.59
27,5.64,10.63,19.94,30.41,40.31,48.52,57.89,67.59,77.95
28,6.22,11.8,19.92,29.63,39.83,48.5,59.02,67.73,78.06
29,4.76,10.91,20.88,30.41,41.21,48.35,58.16,67.56,78.0
30,6.22,12.38,21.17,30.41,40.29,48.5,58.33,67.17,77.89
31,5.64,11.8,20.89,29.12,38.93,48.52,58.31,67.57,78.15
32,6.22,11.78,19.94,30.69,39.39,49.35,58.31,67.3,77.43
33,5.34,10.91,19.92,29.65,40.75,49.37,57.9,67.3,77.25
34,5.64,10.63,21.17,30.67,39.15,48.52,58.17,67.73,77.54
35,6.22,10.34,19.92,30.43,40.31,48.35,58.33,67.57,77.98
36,4.76,10.03,19.92,30.67,39.85,48.52,57.89,67.57,78.59
37,5.64,11.8,19.92,29.63,39.37,48.5,57.61,67.15,77.86
38,4.76,10.63,19.92,30.41,38.93,48.69,58.46,60.57,77.88
39,5.64,10.63,19.92,29.1,40.29,48.84,58.6,67.15,77.43
40,5.64,10.63,19.94,30.41,40.29,49.37,58.31,67.3,77.89
41,5.64,10.91,19.92,30.41,40.07,48.69,58.17,67.57,78.05
42,4.76,10.91,19.92,30.41,39.15,48.86,57.46,67.3,77.96
43,5.64,10.03,22.03,29.89,39.61,48.84,57.9,53.96,77.71
44,4.76,10.63,19.94,29.14,39.37,48.35,57.92,67.71,77.52
45,4.76,10.63,20.25,29.63,39.85,48.84,58.17,67.59,77.88
46,6.22,10.63,19.92,30.41,39.39,48.5,57.92,55.23,77.79
47,5.64,10.63,19.94,30.41,40.29,48.86,58.02,67.15,78.57
48,4.76,12.39,19.94,30.41,38.93,48.5,58.02,55.23,77.79
49,4.74,12.09,20.25,29.63,40.75,48.52,57.9,67.57,77.69
50,5.64,11.8,19.92,30.94,38.91,48.84,58.31,68.68,77.89
51,5.64,12.68,19.92,30.16,38.93,48.35,57.9,67.13,78.23
52,4.76,10.63,19.92,30.69,41.23,49.37,58.74,67.15,65.62
53,5.64,10.63,19.94,30.16,40.29,48.86,58.31,67.15,77.88
54,5.64,10.63,20.88,29.63,38.91,48.69,58.17,67.57,77.89
55,5.64,10.63,19.92,29.63,39.61,48.35,57.89,67.15,77.79
56,4.76,12.09,19.92,29.63,39.15,49.35,58.31,67.15,77.95
57,5.63,11.8,19.94,30.4,38.91,48.84,57.48,67.17,78.23
58,5.63,10.63,19.92,30.92,39.83,48.86,58.17,67.15,77.88
59,6.22,10.63,19.92,29.63,40.29,49.01,58.75,67.73,77.96
60,6.22,10.63,19.92,30.67,41.21,48.35,58.74,67.15,77.96
61,5.64,10.91,21.17,29.63,40.77,48.86,58.04,67.29,77.71
62,4.76,10.63,20.88,29.1,39.39,49.37,57.9,55.23,78.4
63,4.76,11.8,20.25,29.63,38.69,48.86,57.92,67.17,78.59
64,4.76,10.63,19.92,30.92,39.85,48.86,58.31,67.59,77.71
65,4.76,10.03,21.17,30.67,38.91,49.35,57.9,67.69,64.91
66,5.34,10.03,21.17,30.92,39.61,48.86,58.31,68.12,77.52
67,4.76,12.09,19.94,30.41,39.85,48.86,59.01,67.59,77.89
68,5.64,10.03,19.94,29.63,39.15,48.52,57.92,67.17,77.96
69,5.63,10.63,19.92,30.41,39.15,48.35,57.48,67.17,77.78
70,4.76,11.22,21.17,30.4,40.29,49.2,58.02,67.17,77.81
71,4.76,10.91,19.94,30.41,38.45,48.52,58.17,67.3,78.05
72,6.22,10.63,19.92,30.41,40.78,48.35,58.31,67.15,77.79
73,4.74,10.91,19.94,30.41,39.17,48.84,57.9,67.18,77.86
74,4.76,10.63,20.25,30.67,39.61,48.69,58.33,68.51,77.89
75,6.22,10.63,19.92,30.41,38.91,48.35,58.75,67.59,77.25
76,6.22,10.63,19.92,30.41,40.29,48.52,58.46,67.59,77.95
77,5.34,10.63,19.92,29.63,39.13,49.18,58.17,67.15,78.03
78,6.22,12.09,21.17,30.67,38.47,48.5,58.31,67.59,77.89
79,4.76,12.09,19.92,30.92,41.23,48.86,58.04,60.42,77.96
80,4.76,10.91,19.94,29.65,41.23,48.33,59.01,67.17,77.69
81,4.76,11.2,19.92,30.67,40.77,48.52,58.17,67.57,78.05
82,6.22,10.63,21.17,30.16,39.37,48.33,57.9,66.9,78.03
83,4.74,10.32,19.92,30.4,39.37,49.35,58.31,67.29,77.71
84,4.74,10.91,19.92,30.41,39.61,49.69,58.31,55.22,77.86
85,4.76,10.63,20.88,30.16,39.37,48.33,58.04,67.57,77.89
86,4.74,11.8,22.03,30.67,40.29,48.84,58.31,55.22,78.05
87,5.64,12.09,20.88,29.12,39.39,49.35,58.04,67.29,77.88
88,4.74,10.63,20.25,30.16,38.45,49.35,58.6,67.71,78.13
89,4.76,11.51,19.94,30.92,38.91,48.67,58.31,67.59,77.71
90,4.76,10.91,19.92,30.4,38.93,49.03,58.6,67.29,77.6
91,4.76,10.91,19.92,30.94,39.83,48.33,57.89,68.49,77.88
92,5.64,12.09,40.51,30.41,39.83,48.18,57.48,67.73,77.71
93,4.76,10.03,21.17,30.41,39.15,49.35,58.33,67.15,77.69
94,4.76,11.8,21.17,29.63,39.13,48.86,57.9,66.74,78.05
95,5.64,11.49,19.94,30.92,39.37,48.86,58.31,67.71,77.88
96,5.64,13.26,19.92,29.89,39.83,49.2,58.6,67.3,77.33
97,4.76,11.8,19.92,29.12,38.91,48.86,57.9,67.3,77.33
98,4.76,10.63,21.18,30.67,39.85,48.84,58.74,67.71,77.96
99,4.76,10.91,19.92,30.41,41.21,48.35,58.74,67.29,78.61
100,4.74,10.91,19.92,29.63,39.13,48.35,58.31,67.69,78.57
101,4.76,11.49,19.92,30.41,39.61,48.52,58.31,65.04,78.05
102,4.76,10.63,19.92,30.41,41.21,50.22,57.9,67.3,78.23
103,5.64,10.63,20.88,30.4,40.77,48.35,57.9,67.73,56.08
104,5.64,10.63,19.92,29.12,39.39,48.86,58.33,67.57,77.42
105,6.22,11.2,21.17,30.41,39.61,48.5,57.9,68.12,77.71
106,4.74,10.91,19.92,29.1,39.15,48.86,58.31,67.15,77.98
107,4.76,10.63,21.17,30.67,39.37,48.86,58.31,67.59,78.51
108,4.76,10.63,22.03,30.41,39.37,48.86,57.9,67.17,77.62
109,5.64,11.51,21.17,30.41,39.61,48.84,57.89,67.73,77.86
110,6.22,11.8,19.92,30.41,39.15,48.52,57.49,67.3,77.88
111,5.64,12.09,19.92,29.63,40.75,49.37,58.74,67.57,78.51
112,6.22,10.63,21.17,29.63,39.85,48.86,57.92,67.59,78.52
113,4.76,11.51,19.92,29.63,40.29,48.35,58.31,67.17,77.69
114,5.64,10.03,19.92,30.14,38.69,48.86,58.31,63.94,78.86
115,6.22,10.03,19.92,30.16,39.39,49.37,58.33,62.8,78.59
116,4.74,11.49,19.92,30.41,39.37,48.84,58.17,67.17,78.59
117,5.64,10.63,19.92,30.4,39.15,48.33,58.74,53.96,77.69
118,5.64,11.8,21.17,30.69,39.85,49.37,57.9,67.27,77.79
119,4.74,11.8,19.92,30.41,39.85,48.35,58.75,66.74,77.98
120,4.76,11.8,19.92,29.12,38.68,48.35,57.9,67.29,78.47
121,4.76,12.38,21.17,30.41,40.31,48.35,57.9,67.29,77.69
122,6.22,11.22,19.94,31.2,38.93,48.69,57.9,67.3,77.88
123,4.76,12.09,21.17,30.92,39.17,49.35,58.74,67.73,77.6
124,4.76,10.63,19.92,30.41,41.21,48.86,58.31,67.57,77.52
125,6.22,11.8,20.88,30.41,39.61,48.35,57.9,55.22,78.06
126,6.22,10.63,19.94,29.12,41.21,49.37,58.19,67.15,78.57
127,5.64,10.63,19.94,30.41,40.31,49.35,58.17,67.29,62.39
128,6.22,12.09,20.88,29.63,39.83,48.35,58.31,61.68,78.49
129,4.74,10.03,19.92,30.41,38.93,48.86,58.31,67.17,77.33
130,5.64,10.63,19.92,30.41,38.45,49.03,58.74,68.68,77.43
131,5.64,10.63,21.17,30.16,40.31,48.67,58.04,67.71,77.52
132,5.64,10.03,19.92,30.41,40.77,48.35,57.89,67.71,78.05
133,4.76,12.68,19.92,30.41,39.61,48.35,57.92,67.98,77.78
134,5.34,10.91,19.92,30.41,39.85,49.35,58.72,55.23,77.78
135,4.76,11.8,19.92,30.4,39.85,48.35,58.74,67.71,77.95
136,5.64,12.68,19.92,30.41,39.61,49.35,57.75,67.3,77.43
137,4.76,10.63,19.94,29.1,39.61,48.67,58.31,67.15,77.79
138,5.64,10.91,21.17,30.41,39.37,48.86,58.17,67.29,78.22
139,6.22,10.91,19.94,29.12,39.17,48.52,58.74,66.3,78.59
140,5.64,10.63,19.92,30.41,38.91,48.52,58.31,63.92,76.98
141,4.74,13.28,21.17,29.89,39.37,49.37,58.31,66.74,78.05
142,6.22,10.91,19.92,30.92,39.37,48.5,58.74,67.17,77.88
143,6.22,11.51,19.92,29.63,39.83,48.52,57.89,68.0,63.65
144,4.76,10.34,19.94,30.41,38.45,48.67,58.33,67.59,77.86
145,5.34,12.09,19.92,30.41,40.07,48.86,58.6,67.73,77.67
146,5.64,10.91,19.92,30.69,41.23,48.86,58.6,67.57,77.18
147,4.76,10.63,19.92,29.63,39.37,48.5,58.04,66.45,78.51
148,5.64,10.91,19.92,30.41,38.93,49.35,58.33,67.73,77.79
149,6.22,10.63,21.17,30.41,39.39,49.35,58.04,67.73,78.59
150,4.76,10.91,19.92,30.4,38.91,48.84,57.92,68.12,78.51
