n,5cm_raw,5cm_sqr,5cm_lin,10cm_raw,10cm_sqr,10cm_lin,30cm_raw,30cm_sqr,30cm_lin,20cm_raw,20cm_sqr,20cm_lin,40cm_raw,40cm_sqr,40cm_lin,50cm_raw,50cm_sqr,50cm_lin,60cm_raw,60cm_sqr,60cm_lin,70cm_raw,70cm_sqr,70cm_lin,80cm_raw,80cm_sqr,80cm_lin
75,4.437,4.77331,4.339691,10.557,10.168739,10.175389,29.92,30.521507,31.602782,20.4,19.733043,19.895585,39.066,39.867303,40.606942,48.297,47.859089,50.864165,55.216,56.818072,57.326395,64.43,69.011494,69.409511,73.253,78.020369,79.756239
76,5.304,4.477257,4.339691,11.135,9.556252,11.392651,30.43,30.539338,29.9917,20.723,19.715385,19.573369,38.607,39.615644,42.647646,47.243,48.710229,48.483344,55.216,56.36211,56.896773,66.249,66.139865,69.839133,73.984,81.311246,77.142706
77,5.304,4.477257,3.408844,10.557,9.871202,9.853173,33.269,28.90014,35.111361,19.771,19.397586,19.913486,40.443,39.382011,40.857554,47.634,48.891404,50.864165,55.216,57.128227,57.326395,64.702,66.305349,69.96444,75.684,78.50322,75.424218
78,5.593,4.77331,5.252638,11.713,9.556252,10.175389,30.43,28.90014,31.620683,19.448,19.397586,19.913486,41.684,41.540438,40.857554,46.852,49.054485,47.248181,55.216,57.255962,59.241793,67.218,69.748917,69.39161,78.931,78.50322,79.756239
79,6.188,4.477257,4.339691,12.002,9.853703,10.157488,30.43,30.521507,30.815142,20.094,19.733043,19.573369,42.279,43.017703,38.942157,47.243,49.253837,49.432092,58.004,58.150493,56.735665,65.416,68.421881,66.885483,78.132,80.808676,77.518625
80,5.304,5.383088,4.339691,12.002,10.764059,11.392651,31.467,30.539338,30.260214,20.094,19.733043,19.913486,39.287,39.615644,40.857554,48.127,49.054485,49.091975,56.882,56.964017,56.896773,65.399,67.05951,70.250854,78.659,79.841343,75.889642
81,5.304,4.77331,4.339691,12.002,10.168739,9.871073,30.447,31.877409,29.186159,19.771,19.733043,19.895585,38.845,39.382011,40.141518,47.787,49.253837,50.327138,55.199,58.753314,56.44925,64.991,66.746751,69.087295,74.715,81.292628,80.687087
82,5.304,4.477257,5.252638,10.846,9.871202,9.853173,31.722,30.521507,31.620683,20.077,19.733043,19.573369,43.469,40.586631,41.340879,48.144,47.859089,48.071623,58.412,56.818072,57.326395,64.141,67.206719,66.008338,73.525,75.961116,80.973501
83,5.593,3.589588,4.339691,11.424,9.871202,9.871073,30.447,28.917945,30.797241,20.094,19.733043,19.913486,38.607,43.450433,41.340879,47.243,48.293636,48.089523,56.61,57.255962,56.44925,65.127,67.943034,66.008338,75.667,77.611952,77.0353
84,5.015,4.477257,4.339691,12.002,10.764059,10.78402,29.937,30.004554,29.436772,19.771,19.062232,19.913486,40.443,39.867303,39.658193,46.444,50.686553,49.432092,55.216,56.070387,58.346747,65.11,69.767358,65.883031,79.05,80.827286,80.132158
85,5.304,4.477257,5.270539,10.846,10.168739,10.157488,28.9,29.986732,29.9917,20.723,19.733043,19.573369,38.845,39.382011,40.606942,47.804,48.891404,49.091975,56.049,60.106214,56.306043,63.886,69.011494,70.805783,78.234,76.0538,79.935248
86,5.304,4.77331,5.270539,10.846,9.853703,11.392651,28.9,30.521507,30.260214,20.094,19.733043,19.913486,40.902,41.558442,38.458832,47.957,49.253837,49.091975,54.808,60.252566,59.098585,67.201,68.716651,68.353357,74.341,80.808676,78.342067
87,6.188,3.589588,4.339691,10.557,10.466358,9.548857,28.883,28.917945,30.009601,20.094,19.397586,19.913486,39.763,41.558442,40.141518,47.974,48.891404,49.074074,55.624,57.255962,57.326395,64.838,65.992787,67.762627,77.809,78.020369,80.203762
88,5.304,4.477257,4.339691,11.118,9.871202,9.244542,29.155,29.185046,30.797241,19.771,19.397586,19.573369,40.443,41.072434,40.857554,47.617,47.859089,48.483344,54.808,56.380345,57.326395,68.782,69.619835,65.86513,75.208,77.630514,77.0353
89,5.304,5.383088,4.339691,10.829,10.448849,9.871073,30.43,28.917945,30.797241,19.771,19.715385,19.573369,37.247,39.382011,43.274178,47.804,49.616383,49.432092,55.913,57.712271,59.832523,64.158,69.306409,67.476213,75.021,80.436534,80.096357
90,5.304,5.383088,4.339691,10.251,11.359705,10.766119,28.883,30.521507,29.973799,20.094,19.733043,19.573369,39.304,40.119016,40.141518,46.835,48.293636,48.912966,54.655,56.818072,59.241793,66.368,68.864064,70.716278,75.225,78.001802,81.027204
91,5.593,4.477257,4.339691,10.846,10.151235,10.175389,30.43,30.521507,30.815142,20.094,19.397586,19.573369,38.845,38.17866,39.425481,48.127,49.235713,48.071623,57.154,58.479266,56.896773,66.657,66.434074,69.534818,74.698,81.292628,80.56178
92,5.304,4.477257,4.339691,12.002,9.871202,9.853173,28.9,30.521507,29.454673,19.771,19.733043,19.233251,39.525,40.101035,41.573591,47.804,49.253837,48.501244,55.624,58.460999,57.63071,65.263,65.698686,66.599068,74.256,76.331895,77.518625
93,5.304,4.477257,4.339691,11.424,10.764059,11.392651,30.43,28.917945,30.797241,19.771,19.397586,19.573369,39.984,40.3528,40.624843,47.634,48.293636,49.091975,55.488,58.607148,56.896773,66.385,67.353946,69.105196,74.885,75.849904,79.272915
94,4.42,4.477257,4.339691,10.54,10.168739,9.871073,30.447,30.539338,29.186159,19.771,19.733043,19.233251,39.525,38.66344,41.806303,48.484,49.054485,49.074074,54.655,59.356443,58.078233,63.869,66.158251,66.455861,73.899,77.036688,77.966148
95,5.304,4.477257,5.270539,10.557,9.871202,9.871073,29.665,28.90014,29.186159,20.094,19.397586,19.233251,39.525,40.3528,38.458832,47.634,48.891404,50.864165,55.216,56.216239,58.22144,66.521,67.501191,67.637321,78.234,78.466071,76.569877
96,5.304,4.477257,4.644007,12.002,10.746545,9.871073,30.43,31.609668,29.973799,19.771,19.397586,19.573369,39.083,39.849325,42.235925,47.804,47.877192,48.912966,55.199,56.818072,56.753566,64.294,68.40346,70.071845,73.44,79.841343,75.728534
97,5.304,3.572191,4.644007,10.846,9.556252,8.940226,33.269,30.539338,30.797241,20.094,19.397586,19.895585,39.066,38.17866,40.392131,47.787,47.877192,49.091975,54.655,56.653905,57.183187,63.325,66.139865,66.599068,74.8,76.943929,80.669186
98,5.304,5.365661,5.270539,10.54,9.556252,9.871073,29.665,31.877409,30.797241,19.448,19.733043,19.913486,39.984,39.382011,43.685899,48.127,50.686553,49.091975,55.216,58.168756,58.79427,64.43,67.943034,69.534818,76.568,78.020369,77.053201
99,5.304,4.477257,4.339691,10.557,8.961595,10.175389,29.138,29.71944,30.797241,20.094,19.397586,19.913486,39.984,38.66344,40.37423,49.487,50.686553,50.506147,55.624,56.818072,56.896773,64.158,67.353946,67.333005,74.681,78.020369,81.13461
100,5.304,4.477257,4.339691,10.54,9.556252,9.548857,30.43,28.917945,29.9917,19.771,20.386593,19.913486,39.066,41.072434,39.658193,47.634,48.076342,48.912966,55.624,57.566233,58.22144,66.81,68.864064,69.087295,75.667,82.074802,77.984049
101,5.304,4.477257,4.339691,10.557,10.168739,10.175389,30.43,30.521507,29.9917,20.094,19.397586,19.573369,38.624,39.867303,42.432835,47.243,48.710229,48.912966,54.791,57.274211,58.651062,65.535,67.482784,65.86513,75.208,75.590449,77.393319
102,5.304,4.477257,5.270539,10.251,10.168739,9.871073,30.43,28.90014,31.620683,20.094,19.733043,19.573369,40.902,39.867303,42.647646,48.484,48.891404,49.432092,58.004,58.150493,56.896773,66.793,67.943034,68.639772,74.341,80.808676,78.431572
103,5.304,4.477257,4.339691,10.251,11.359705,10.175389,30.447,31.324147,29.186159,20.4,19.733043,19.573369,40.443,38.896926,40.37423,48.654,49.054485,49.091975,56.474,56.79983,56.44925,64.141,69.601396,70.143449,72.811,78.001802,76.659381
104,5.304,4.477257,5.270539,10.54,9.556252,11.088336,28.883,28.90014,29.186159,19.771,19.397586,19.913486,39.304,39.382011,40.624843,47.243,48.891404,49.432092,54.791,56.79983,60.691766,65.11,69.767358,70.35826,76.245,78.113211,80.203762
105,5.304,4.477257,4.948322,11.118,10.466358,9.871073,30.43,30.521507,32.157711,20.094,19.733043,19.913486,37.706,41.540438,40.857554,47.804,49.235713,48.912966,57.715,59.356443,58.507855,63.325,66.746751,69.96444,75.14,78.484646,76.176057
106,5.304,4.77331,5.252638,10.846,10.448849,12.627814,28.883,29.167237,30.815142,19.771,19.397586,19.573369,39.304,39.382011,40.857554,48.144,49.235713,49.270984,55.913,56.380345,56.896773,67.065,69.619835,67.762627,77.452,79.971516,78.9865
107,5.593,5.383088,5.270539,10.557,11.359705,11.392651,28.883,30.539338,30.009601,19.771,19.733043,19.573369,39.984,41.558442,43.685899,46.835,49.054485,49.091975,55.216,59.813564,57.344296,63.852,66.599599,67.476213,74.885,78.484646,80.75869
108,5.304,4.477257,5.270539,11.407,10.764059,11.088336,30.43,28.917945,29.454673,19.448,19.062232,19.573369,39.746,41.558442,40.37423,47.617,47.859089,47.23028,58.276,57.712271,56.467151,66.793,67.979862,69.534818,75.208,79.841343,76.945796
109,6.171,4.477257,4.644007,10.846,10.168739,10.175389,30.447,30.521507,29.973799,20.094,19.715385,19.573369,41.293,41.072434,38.458832,48.144,49.072606,49.074074,58.973,56.216239,57.344296,67.218,66.893922,65.417608,74.358,78.391776,77.0353
110,5.304,5.383088,4.339691,10.846,12.253786,10.479705,29.716,29.185046,31.602782,20.077,19.062232,19.233251,40.443,39.382011,38.476733,46.036,51.031394,48.912966,54.808,58.607148,57.612809,64.991,67.814146,69.39161,73.61,77.519149,81.904349
111,5.304,4.477257,4.339691,11.713,9.853703,9.871073,30.43,30.521507,30.797241,20.094,19.397586,19.895585,40.443,40.3528,40.857554,47.804,49.253837,48.089523,54.791,56.653905,56.431349,64.872,70.32073,66.599068,73.542,79.357963,80.185861
112,4.42,3.589588,4.339691,13.175,10.466358,9.871073,29.682,30.521507,29.186159,19.465,19.379933,19.573369,40.443,39.382011,39.890905,49.487,49.253837,49.091975,58.412,56.36211,58.79427,67.082,69.638274,69.087295,77.265,80.529559,77.41122
113,6.188,4.477257,5.252638,10.251,11.359705,9.853173,30.43,28.917945,29.9917,20.094,19.397586,19.233251,39.304,38.17866,41.340879,47.634,48.293636,49.074074,55.624,56.36211,56.306043,64.277,65.992787,68.514466,74.443,78.50322,77.572328
114,5.304,4.77331,3.408844,12.002,9.871202,10.479705,30.43,29.755075,32.444125,19.771,19.397586,19.895585,40.902,40.586631,43.274178,49.827,49.235713,49.253083,56.474,57.566233,57.344296,66.793,69.011494,66.455861,74.885,78.113211,80.579681
115,6.188,4.477257,4.644007,11.424,10.168739,11.392651,30.43,30.539338,29.168258,19.771,19.397586,19.913486,37.706,40.586631,40.857554,47.634,48.710229,51.222183,56.474,56.818072,59.402901,64.583,67.648454,67.333005,74.341,77.519149,77.518625
116,6.171,5.383088,4.339691,10.251,10.764059,8.940226,29.92,34.826761,30.815142,19.771,19.397586,19.913486,38.148,39.382011,40.624843,47.804,48.710229,48.501244,54.791,56.36211,57.326395,65.399,68.864064,67.637321,77.01,76.16503,73.920541
117,5.593,5.383088,4.339691,11.713,10.168739,10.175389,30.447,30.521507,30.797241,20.094,20.386593,19.913486,39.304,38.17866,38.924256,49.657,48.891404,49.074074,57.596,56.36211,57.773918,65.416,66.893922,67.476213,77.095,78.094642,80.687087
118,6.188,4.477257,4.339691,12.002,9.853703,10.175389,29.665,30.806825,29.973799,19.771,19.715385,19.573369,38.165,41.072434,38.942157,48.144,50.686553,47.659902,56.049,56.36211,56.896773,64.277,65.551662,66.294752,77.01,81.311246,76.086552
119,5.304,4.477257,4.339691,11.424,10.168739,10.766119,28.9,33.50307,30.797241,20.723,19.733043,19.573369,37.706,41.072434,39.658193,48.127,48.275526,50.864165,55.063,56.216239,56.306043,67.507,66.599599,67.171897,74.358,76.647147,75.728534
120,4.42,4.477257,4.339691,10.846,9.871202,10.78402,28.9,29.755075,30.815142,19.771,19.715385,19.573369,41.293,40.3528,41.340879,47.617,48.873285,50.327138,57.29,60.252566,56.44925,66.385,69.158942,67.476213,74.341,79.599629,80.096357
121,6.188,5.383088,5.270539,10.557,9.871202,10.78402,29.155,29.71944,29.186159,20.094,19.397586,19.573369,39.984,37.694085,41.340879,47.634,48.873285,49.432092,55.624,56.380345,57.63071,65.263,70.985113,69.946539,74.341,80.71563,76.659381
122,5.304,4.477257,4.339691,10.557,10.151235,10.175389,28.9,29.71944,30.260214,20.077,19.715385,19.895585,38.845,40.586631,39.658193,47.787,48.891404,49.270984,55.624,58.460999,56.306043,64.294,70.062458,69.534818,74.783,80.827286,76.569877
123,5.593,4.477257,3.408844,11.424,11.359705,11.392651,30.447,29.986732,30.797241,20.723,19.397586,19.913486,37.247,41.072434,39.425481,47.787,48.293636,49.270984,56.763,56.672145,56.306043,65.263,66.912319,69.087295,75.14,81.311246,81.027204
124,5.593,4.477257,4.339691,11.424,11.359705,10.78402,31.722,29.71944,30.797241,20.094,20.386593,20.57582,39.984,39.615644,42.218024,47.804,47.442801,48.089523,59.109,57.109981,56.878872,64.583,69.306409,65.86513,76.024,74.294006,77.0353
125,5.304,5.383088,4.339691,10.557,11.359705,10.175389,28.9,28.917945,29.186159,19.771,19.397586,19.573369,39.984,39.382011,40.141518,48.637,49.235713,49.432092,55.624,56.216239,57.773918,67.49,69.767358,71.53972,72.471,78.001802,77.984049
126,5.304,4.477257,4.339691,12.019,10.764059,10.78402,30.43,29.185046,29.454673,20.077,19.062232,19.895585,38.165,41.558442,38.458832,46.835,49.616383,48.071623,55.216,56.818072,56.44925,67.49,69.158942,69.39161,77.792,80.343516,76.014948
127,5.304,4.477257,4.035376,11.424,11.359705,9.871073,30.447,30.521507,29.186159,20.706,19.733043,19.895585,40.885,43.865285,37.975507,48.977,48.710229,49.449993,55.216,56.672145,56.44925,64.719,69.306409,68.657673,74.8,81.162315,78.431572
128,5.304,5.383088,4.339691,10.557,10.764059,8.940226,29.155,29.986732,30.797241,19.771,20.386593,19.233251,38.165,39.849325,41.322978,49.487,47.859089,49.629002,56.593,58.771586,59.385,65.127,68.864064,65.86513,78.965,77.519149,77.142706
129,5.304,4.477257,5.270539,10.846,10.466358,9.871073,29.665,30.521507,30.797241,20.094,19.397586,19.233251,38.165,39.867303,43.274178,46.444,49.779566,49.432092,57.307,57.730527,60.852875,65.127,67.648454,66.312653,76.466,79.952919,76.927895
130,5.304,4.477257,5.270539,10.557,9.258883,11.392651,31.212,29.737257,29.436772,19.771,19.715385,19.573369,38.624,42.386931,39.658193,46.444,49.416969,49.091975,54.791,56.216239,58.20354,69.224,66.599599,67.02869,72.998,82.540618,80.293267
131,6.188,5.383088,4.339691,10.54,10.466358,10.78402,28.9,28.90014,32.157711,19.771,19.397586,19.573369,41.684,38.66344,41.824204,46.835,48.891404,48.698155,57.154,59.374725,56.467151,65.416,70.062458,67.207699,76.126,77.53771,77.482823
132,5.304,4.77331,4.339691,11.424,10.764059,9.871073,28.9,31.34199,30.815142,20.094,19.733043,19.913486,40.902,39.615644,41.340879,46.852,48.710229,48.089523,57.035,57.255962,58.20354,67.218,67.648454,68.657673,76.993,79.952919,76.086552
133,5.304,4.477257,4.339691,10.54,9.853703,10.175389,28.9,30.521507,30.797241,19.771,19.397586,19.573369,43.078,39.382011,41.340879,47.957,50.868035,48.071623,55.624,56.216239,57.326395,65.263,69.767358,69.373709,77.367,78.001802,77.948247
134,5.593,4.477257,4.339691,10.557,10.168739,9.853173,30.43,29.185046,30.278115,19.771,19.397586,19.573369,39.984,39.867303,40.857554,47.804,48.293636,48.089523,54.808,58.296603,58.955378,56.916,67.353946,66.312653,77.622,80.41793,77.966148
135,4.437,4.477257,4.339691,10.557,10.764059,10.175389,31.994,30.521507,30.009601,20.094,19.733043,19.913486,38.845,38.66344,38.458832,48.977,49.253837,49.074074,56.457,56.818072,59.528207,68.425,67.05951,65.578716,74.783,81.66503,77.590229
136,6.188,5.383088,4.339691,12.002,11.359705,10.78402,29.699,29.167237,30.815142,19.771,20.386593,19.913486,38.607,39.148426,38.458832,47.634,49.235713,49.969119,58.684,57.712271,57.344296,64.719,67.05951,66.885483,74.426,77.519149,80.687087
137,5.304,4.477257,4.339691,10.54,10.466358,9.853173,30.43,29.71944,30.045403,19.771,19.733043,19.913486,40.443,44.280286,41.340879,47.974,47.859089,49.091975,57.018,56.818072,56.896773,67.609,67.04111,65.883031,77.435,78.484646,79.272915
138,6.188,5.365661,4.644007,10.846,11.359705,11.088336,30.43,32.69888,30.797241,19.771,19.715385,19.573369,38.845,40.586631,40.123617,47.787,48.891404,49.808011,55.641,57.255962,58.507855,68.697,67.814146,67.637321,75.667,77.036688,81.13461
139,5.304,3.572191,4.339691,10.54,10.466358,9.871073,29.682,28.90014,30.797241,19.771,19.733043,19.913486,40.902,39.382011,44.115521,47.804,50.686553,49.074074,55.624,58.607148,57.63071,67.082,65.992787,69.248403,77.452,78.261771,77.0353
140,5.304,3.572191,4.339691,10.846,10.168739,10.479705,28.9,28.917945,29.186159,19.448,19.397586,19.233251,40.443,38.17866,38.942157,47.226,48.891404,48.912966,58.701,56.36211,57.773918,67.728,65.551662,68.21015,77.435,82.633802,77.41122
141,5.304,4.477257,4.339691,10.829,9.853703,11.392651,29.665,29.737257,33.786694,19.771,19.733043,19.573369,40.443,40.101035,41.340879,48.127,48.293636,48.501244,56.185,59.210202,57.791819,64.566,68.40346,69.087295,74.443,76.739883,77.948247
142,5.304,5.383088,4.339691,11.135,9.871202,12.001282,30.43,28.90014,30.797241,20.094,19.397586,19.573369,39.763,40.101035,41.340879,48.484,47.877192,49.969119,55.624,58.168756,58.937477,63.869,68.845636,67.762627,72.573,77.890404,77.41122
143,6.188,4.477257,4.339691,12.869,9.871202,10.175389,29.138,28.917945,30.260214,20.723,20.386593,19.913486,39.984,38.66344,42.235925,47.226,47.859089,49.98702,55.93,56.818072,57.773918,67.898,67.943034,69.373709,73.831,76.331895,77.984049
144,4.437,5.383088,4.948322,10.251,11.061841,9.871073,30.43,30.539338,29.186159,19.448,19.397586,19.233251,38.165,39.382011,39.658193,48.637,49.072606,49.091975,54.791,57.255962,56.306043,64.719,68.864064,69.087295,74.8,77.426354,76.569877
145,6.188,5.383088,4.339691,12.002,12.253786,10.78402,30.43,29.185046,29.168258,20.094,19.397586,19.573369,38.845,41.072434,43.274178,47.804,49.253837,49.091975,56.049,56.216239,56.306043,67.082,69.158942,69.105196,74.443,76.535872,76.659381
146,5.304,4.477257,4.339691,10.557,11.359705,9.853173,28.9,29.71944,30.815142,19.771,19.733043,19.913486,40.443,40.586631,40.141518,49.147,47.859089,49.091975,56.882,57.274211,56.467151,66.793,67.501191,69.821232,73.814,77.519149,80.114257
147,6.188,5.383088,4.339691,12.002,9.871202,10.175389,28.9,30.539338,30.260214,19.771,19.733043,19.913486,40.443,41.072434,41.824204,47.617,48.692114,49.091975,55.913,57.712271,57.183187,63.325,67.501191,70.16135,74.443,77.036688,77.500724
148,5.304,4.477257,3.426745,12.002,9.871202,9.853173,31.212,33.50307,30.797241,19.771,19.397586,19.573369,37.706,43.017703,39.658193,46.852,52.466297,49.432092,56.882,56.343875,59.098585,64.294,67.225121,67.333005,74.851,78.96768,76.176057
149,5.304,5.383088,4.339691,12.002,9.556252,9.548857,29.92,30.521507,30.797241,19.771,19.397586,19.913486,39.525,41.072434,40.123617,51.17,49.054485,49.253083,55.913,57.255962,57.183187,65.552,68.864064,66.312653,73.559,81.66503,79.827843
150,5.304,5.383088,4.339691,9.673,9.871202,11.392651,28.9,30.521507,31.889197,19.771,19.397586,19.573369,43.078,41.540438,41.806303,46.835,49.235713,48.071623,55.063,58.753314,58.937477,64.158,66.746751,69.39161,75.667,77.611952,78.073553
